공개년도,광역,총 체납액
2012,강원도,23647
2012,경기도,232989
2012,경상남도,22493
2012,경상북도,10416
2012,광주광역시,8000
2012,대구광역시,18148
2012,대전광역시,21526
2012,부산광역시,28921
2012,서울특별시,583981
2012,세종특별자치시,1143
2012,울산광역시,9011
2012,인천광역시,62015
2012,전라남도,44332
2012,전라북도,8492
2012,제주특별자치도,2348
2012,충청남도,23910
2012,충청북도,14119
2013,강원도,10992
2013,경기도,115321
2013,경상남도,19903
2013,경상북도,6777
2013,광주광역시,14305
2013,대구광역시,4112
2013,대전광역시,4196
2013,부산광역시,18610
2013,서울특별시,216313
2013,울산광역시,6598
2013,인천광역시,47572
2013,전라남도,4683
2013,전라북도,754
2013,충청남도,10441
2013,충청북도,12439
2014,강원도,5659
2014,경기도,173083
2014,경상남도,6204
2014,경상북도,25231
2014,광주광역시,1015
2014,대구광역시,2568
2014,대전광역시,12080
2014,부산광역시,18116
2014,서울특별시,202786
2014,울산광역시,27001
2014,인천광역시,37312
2014,전라남도,4134
2014,전라북도,1915
2014,제주특별자치도,889
2014,충청남도,9748
2014,충청북도,5426
2015,강원도,8092
2015,경기도,357451
2015,경상남도,28287
2015,경상북도,67895
2015,광주광역시,4985
2015,대구광역시,29033
2015,대전광역시,15766
2015,부산광역시,59533
2015,서울특별시,278948
2015,세종특별자치시,4251
2015,울산광역시,31842
2015,인천광역시,29375
2015,전라남도,7522
2015,전라북도,3244
2015,제주특별자치도,5233
2015,충청남도,34916
2015,충청북도,22996
2016,강원도,21662
2016,경기도,457251
2016,경상남도,96145
2016,경상북도,28764
2016,광주광역시,24390
2016,대구광역시,22088
2016,대전광역시,19092
2016,부산광역시,93349
2016,서울특별시,549080
2016,세종특별자치시,1036
2016,울산광역시,59138
2016,인천광역시,152051
2016,전라남도,26121
2016,전라북도,22463
2016,제주특별자치도,12785
2016,충청남도,35004
2016,충청북도,27461
2017,강원도,19032
2017,경기도,312212
2017,경상남도,58716
2017,경상북도,35124
2017,광주광역시,12687
2017,대구광역시,14153
2017,대전광역시,11495
2017,부산광역시,67846
2017,서울특별시,445618
2017,세종특별자치시,1617
2017,울산광역시,20885
2017,인천광역시,82876
2017,전라남도,19172
2017,전라북도,21703
2017,제주특별자치도,7216
2017,충청남도,65621
2017,충청북도,22083
2018,강원도,15891
2018,경기도,294957
2018,경상남도,32461
2018,경상북도,23577
2018,광주광역시,32613
2018,대구광역시,23777
2018,대전광역시,28680
2018,부산광역시,49653
2018,서울특별시,246587
2018,세종특별자치시,2490
2018,울산광역시,18343
2018,인천광역시,80713
2018,전라남도,17829
2018,전라북도,9603
2018,제주특별자치도,15194
2018,충청남도,36885
2018,충청북도,33121
2019,강원도,12168
2019,경기도,377589
2019,경상남도,57544
2019,경상북도,45184
2019,광주광역시,25627
2019,대구광역시,43396
2019,대전광역시,21103
2019,부산광역시,45513
2019,서울특별시,281294
2019,세종특별자치시,3180
2019,울산광역시,22039
2019,인천광역시,40718
2019,전라남도,27556
2019,전라북도,15389
2019,제주특별자치도,21060
2019,충청남도,39926
2019,충청북도,12855
2020,강원도,18412
2020,경기도,391752
2020,경상남도,73626
2020,경상북도,33433
2020,광주광역시,24028
2020,대구광역시,34944
2020,대전광역시,14953
2020,부산광역시,44096
2020,서울특별시,406469
2020,세종특별자치시,7878
2020,울산광역시,46534
2020,인천광역시,90074
2020,전라남도,25675
2020,전라북도,33025
2020,제주특별자치도,19067
2020,충청남도,57057
2020,충청북도,25134
2021,강원도,21534
2021,경기도,421662
2021,경상남도,64326
2021,경상북도,39340
2021,광주광역시,61595
2021,대구광역시,28288
2021,대전광역시,31541
2021,부산광역시,52260
2021,서울특별시,431131
2021,세종특별자치시,8158
2021,울산광역시,42894
2021,인천광역시,77899
2021,전라남도,45914
2021,전라북도,28026
2021,제주특별자치도,30163
2021,충청남도,59307
2021,충청북도,32856
2022,강원도,16350
2022,경기도,500912
2022,경상남도,52557
2022,경상북도,43736
2022,광주광역시,37738
2022,대구광역시,36127
2022,대전광역시,28766
2022,부산광역시,84396
2022,서울특별시,376005
2022,세종특별자치시,4510
2022,울산광역시,25841
2022,인천광역시,66718
2022,전라남도,38923
2022,전라북도,30198
2022,제주특별자치도,20082
2022,충청남도,52993
2022,충청북도,32075
