,광역,sum,count,tax_per_one,위도,경도,devide,latlon,exits_radius
0,강원도,633255,852,743.26,37.555837,128.209315,12.6651,"[128.209315, 37.555837]",795.7732088981131
1,경기도,9180962,10172,902.57,37.567167,127.190292,183.61924,"[127.190292, 37.567167]",3030.0102310058296
2,경상남도,1327364,1745,760.67,35.259787,128.664734,26.54728,"[128.664734, 35.259787]",1152.1128416956387
3,경상북도,1027151,1149,893.95,36.248647,128.664734,20.54302,"[128.664734, 36.248647]",1013.4845830105163
4,광주광역시,443853,523,848.67,35.126033,126.831302,8.87706,"[126.831302, 35.126033]",666.2229356604289
5,대구광역시,743125,892,833.1,35.798838,128.583052,14.8625,"[128.583052, 35.798838]",862.0469824783333
6,대전광역시,637680,681,936.39,36.321655,127.378953,12.7536,"[127.378953, 36.321655]",798.5486835503518
7,부산광역시,1563347,1578,990.71,35.198362,129.053922,31.26694,"[129.053922, 35.198362]",1250.3387540982644
8,서울특별시,6633061,5888,1126.54,37.540705,126.956764,132.66122,"[126.956764, 37.540705]",2575.472966272409
9,세종특별자치시,120594,134,899.96,36.504073,127.249485,2.41188,"[127.249485, 36.504073]",347.26646829200195
10,울산광역시,343009,499,687.39,35.519301,129.239078,6.86018,"[129.239078, 35.519301]",585.6697021359395
11,인천광역시,1811459,2206,821.15,37.469221,126.573234,36.22918,"[126.573234, 37.469221]",1345.9045285606257
12,전라남도,535878,666,804.62,34.819400,126.893113,10.71756,"[126.893113, 34.8194]",732.0368843166306
13,전라북도,529557,665,796.33,35.716705,127.144185,10.59114,"[127.144185, 35.716705]",727.7066716747896
14,제주특별자치도,418728,451,928.44,33.364805,126.542671,8.37456,"[126.542671, 33.364805]",647.0919563709627
15,충청남도,1120749,1501,746.67,36.557229,126.779757,22.41498,"[126.779757, 36.557229]",1058.654334520952
16,충청북도,655801,860,762.56,36.628503,127.929344,13.11602,"[127.929344, 36.628503]",809.8154110660033
